transaction_month,town,flat_type,block_no,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,Remaining_months,flat_Storey_range,Flat_type_range
2018-09,BISHAN,3 ROOM,189,BISHAN ST 13,01 TO 03,65,Simplified,1988,68 years 09 months,340000,825,1,3
2018-09,BISHAN,3 ROOM,304,SHUNFU RD,04 TO 06,67,New Generation,1985,65 years 06 months,410000,786,1,3
2018-09,BISHAN,3 ROOM,308,SHUNFU RD,04 TO 06,67,New Generation,1984,65 years 03 months,355000,783,1,3
2018-09,BISHAN,3 ROOM,22,SIN MING RD,07 TO 09,68,Improved,1973,54 years 02 months,239000,650,2,3
2018-09,BISHAN,4 ROOM,149,BISHAN ST 11,07 TO 09,84,Simplified,1987,67 years 04 months,455000,808,2,4
2018-09,BISHAN,4 ROOM,144,BISHAN ST 12,04 TO 06,103,Model A,1988,68 years 11 months,530888,827,1,4
2018-09,BISHAN,4 ROOM,115,BISHAN ST 12,01 TO 03,89,Simplified,1986,66 years 05 months,480000,797,1,4
2018-09,BISHAN,4 ROOM,106,BISHAN ST 12,10 TO 12,84,Simplified,1985,66 years 02 months,550000,794,2,4
2018-09,BISHAN,4 ROOM,112,BISHAN ST 12,01 TO 03,84,Simplified,1985,65 years 09 months,470000,789,1,4
2018-09,BISHAN,4 ROOM,116,BISHAN ST 12,04 TO 06,89,Simplified,1985,66 years 02 months,548000,794,1,4
2018-09,BISHAN,4 ROOM,106,BISHAN ST 12,07 TO 09,105,Model A,1985,66 years 02 months,668000,794,2,4
2018-09,BISHAN,4 ROOM,180,BISHAN ST 13,04 TO 06,88,Simplified,1988,68 years 07 months,520000,823,1,4
2018-09,BISHAN,4 ROOM,254,BISHAN ST 22,19 TO 21,116,Model A,1992,72 years 11 months,655000,875,3,4
2018-09,BISHAN,4 ROOM,248,BISHAN ST 22,25 TO 27,114,Model A,1992,72 years 11 months,738000,875,3,4
2018-09,BISHAN,4 ROOM,204,BISHAN ST 23,01 TO 03,112,Model A,1992,72 years 08 months,575000,872,1,4
2018-09,BISHAN,4 ROOM,228,BISHAN ST 23,04 TO 06,105,Model A,1992,72 years 07 months,558000,871,1,4
2018-09,BISHAN,4 ROOM,273A,BISHAN ST 24,04 TO 06,95,DBSS,2011,92 years,735000,1104,1,4
2018-09,BISHAN,4 ROOM,273A,BISHAN ST 24,31 TO 33,95,DBSS,2011,92 years,830000,1104,3,4
2018-09,BISHAN,4 ROOM,267,BISHAN ST 24,04 TO 06,104,Model A,1992,72 years 11 months,570000,875,1,4
2018-09,BISHAN,4 ROOM,273A,BISHAN ST 24,19 TO 21,95,DBSS,2011,91 years 11 months,810000,1103,3,4
2018-09,BISHAN,4 ROOM,271,BISHAN ST 24,01 TO 03,104,Model A,1992,72 years 11 months,580000,875,1,4
2018-09,BISHAN,4 ROOM,445,SIN MING AVE,07 TO 09,105,Model A,1990,70 years 05 months,575000,845,2,4
2018-09,BISHAN,4 ROOM,406,SIN MING AVE,07 TO 09,84,Simplified,1987,67 years 07 months,483000,811,2,4
2018-09,BISHAN,5 ROOM,127,BISHAN ST 12,04 TO 06,133,Improved,1986,67 years 03 months,735000,807,1,5
2018-09,BISHAN,5 ROOM,103,BISHAN ST 12,07 TO 09,121,Improved,1986,67 years 02 months,730000,806,2,5
2018-09,BISHAN,5 ROOM,166,BISHAN ST 13,07 TO 09,122,Improved,1987,68 years 04 months,725000,820,2,5
2018-09,BISHAN,5 ROOM,158,BISHAN ST 13,19 TO 21,121,Improved,1988,68 years 06 months,728000,822,3,5
2018-09,BISHAN,5 ROOM,167,BISHAN ST 13,01 TO 03,122,Improved,1988,69 years,630000,828,1,5
2018-09,BISHAN,5 ROOM,179,BISHAN ST 13,07 TO 09,121,Improved,1987,67 years 11 months,760000,815,2,5
2018-09,BISHAN,5 ROOM,165,BISHAN ST 13,13 TO 15,121,Improved,1988,69 years,778000,828,3,5
2018-09,BISHAN,5 ROOM,203,BISHAN ST 23,10 TO 12,132,Model A,1992,72 years 08 months,850000,872,2,5
2018-09,BISHAN,5 ROOM,223,BISHAN ST 23,01 TO 03,121,Improved,1992,72 years 11 months,818000,875,1,5
2018-09,BISHAN,5 ROOM,273B,BISHAN ST 24,28 TO 30,120,DBSS,2011,92 years,1080000,1104,3,5
